country_name,sex,age_group,age_categories,year,unemployment_rate
Afghanistan,Female,Under 15 (Children),Children,2014,10.306
Afghanistan,Male,Under 15 (Children),Children,2014,7.34
Albania,Female,Under 15 (Children),Children,2014,15.476
Albania,Male,Under 15 (Children),Children,2014,19.853
Algeria,Female,Under 15 (Children),Children,2014,15.687
Algeria,Male,Under 15 (Children),Children,2014,9.021
Angola,Female,Under 15 (Children),Children,2014,17.59
Angola,Male,Under 15 (Children),Children,2014,15.053
Argentina,Female,Under 15 (Children),Children,2014,8.393
Argentina,Male,Under 15 (Children),Children,2014,6.495
Armenia,Female,Under 15 (Children),Children,2014,10.873
Armenia,Male,Under 15 (Children),Children,2014,13.13
Australia,Female,Under 15 (Children),Children,2014,6.172
Australia,Male,Under 15 (Children),Children,2014,6.002
Austria,Female,Under 15 (Children),Children,2014,5.427
Austria,Male,Under 15 (Children),Children,2014,5.887
Azerbaijan,Female,Under 15 (Children),Children,2014,5.817
Azerbaijan,Male,Under 15 (Children),Children,2014,4.004
"Bahamas, The",Female,Under 15 (Children),Children,2014,14.642
"Bahamas, The",Male,Under 15 (Children),Children,2014,13.037
Bahrain,Female,Under 15 (Children),Children,2014,3.745
Bahrain,Male,Under 15 (Children),Children,2014,0.438
Bangladesh,Female,Under 15 (Children),Children,2014,7.441
Bangladesh,Male,Under 15 (Children),Children,2014,3.16
Barbados,Female,Under 15 (Children),Children,2014,12.65
Barbados,Male,Under 15 (Children),Children,2014,11.69
Belarus,Female,Under 15 (Children),Children,2014,4.319
Belarus,Male,Under 15 (Children),Children,2014,7.503
Belgium,Female,Under 15 (Children),Children,2014,7.938
Belgium,Male,Under 15 (Children),Children,2014,9.017
Belize,Female,Under 15 (Children),Children,2014,14.069
Belize,Male,Under 15 (Children),Children,2014,4.767
Benin,Female,Under 15 (Children),Children,2014,2.05
Benin,Male,Under 15 (Children),Children,2014,1.587
Bhutan,Female,Under 15 (Children),Children,2014,3.615
Bhutan,Male,Under 15 (Children),Children,2014,1.979
Bolivia,Female,Under 15 (Children),Children,2014,2.881
Bolivia,Male,Under 15 (Children),Children,2014,1.375
Bosnia and Herzegovina,Female,Under 15 (Children),Children,2014,31.137
Bosnia and Herzegovina,Male,Under 15 (Children),Children,2014,25.154
Botswana,Female,Under 15 (Children),Children,2014,21.215
Botswana,Male,Under 15 (Children),Children,2014,15.945
Brazil,Female,Under 15 (Children),Children,2014,8.33
Brazil,Male,Under 15 (Children),Children,2014,5.613
Brunei Darussalam,Female,Under 15 (Children),Children,2014,7.863
Brunei Darussalam,Male,Under 15 (Children),Children,2014,6.138
Bulgaria,Female,Under 15 (Children),Children,2014,10.402
Bulgaria,Male,Under 15 (Children),Children,2014,12.313
Burkina Faso,Female,Under 15 (Children),Children,2014,4.458
Burkina Faso,Male,Under 15 (Children),Children,2014,4.134
Burundi,Female,Under 15 (Children),Children,2014,1.153
Burundi,Male,Under 15 (Children),Children,2014,2.02
Cabo Verde,Female,Under 15 (Children),Children,2014,12.084
Cabo Verde,Male,Under 15 (Children),Children,2014,11.436
Cambodia,Female,Under 15 (Children),Children,2014,0.69
Cambodia,Male,Under 15 (Children),Children,2014,0.69
Cameroon,Female,Under 15 (Children),Children,2014,4.047
Cameroon,Male,Under 15 (Children),Children,2014,3.073
Canada,Female,Under 15 (Children),Children,2014,6.498
Canada,Male,Under 15 (Children),Children,2014,7.488
Central African Republic,Female,Under 15 (Children),Children,2014,6.767
Central African Republic,Male,Under 15 (Children),Children,2014,5.078
Chad,Female,Under 15 (Children),Children,2014,0.585
Chad,Male,Under 15 (Children),Children,2014,1.093
Channel Islands,Female,Under 15 (Children),Children,2014,8.458
Channel Islands,Male,Under 15 (Children),Children,2014,8.272
Chile,Female,Under 15 (Children),Children,2014,7.11
Chile,Male,Under 15 (Children),Children,2014,6.33
China,Female,Under 15 (Children),Children,2014,4.018
China,Male,Under 15 (Children),Children,2014,5.123
Colombia,Female,Under 15 (Children),Children,2014,11.304
Colombia,Male,Under 15 (Children),Children,2014,6.987
Comoros,Female,Under 15 (Children),Children,2014,5.325
Comoros,Male,Under 15 (Children),Children,2014,4.433
"Congo, Rep.",Female,Under 15 (Children),Children,2014,20.988
"Congo, Rep.",Male,Under 15 (Children),Children,2014,18.457
"Congo, Dem. Rep.",Female,Under 15 (Children),Children,2014,3.562
"Congo, Dem. Rep.",Male,Under 15 (Children),Children,2014,5.227
Costa Rica,Female,Under 15 (Children),Children,2014,10.515
Costa Rica,Male,Under 15 (Children),Children,2014,7.16
Croatia,Female,Under 15 (Children),Children,2014,18.268
Croatia,Male,Under 15 (Children),Children,2014,16.448
Cuba,Female,Under 15 (Children),Children,2014,3.14
Cuba,Male,Under 15 (Children),Children,2014,2.431
Cyprus,Female,Under 15 (Children),Children,2014,15.227
Cyprus,Male,Under 15 (Children),Children,2014,17.172
Czechia,Female,Under 15 (Children),Children,2014,7.394
Czechia,Male,Under 15 (Children),Children,2014,5.103
Cote d'Ivoire,Female,Under 15 (Children),Children,2014,3.94
Cote d'Ivoire,Male,Under 15 (Children),Children,2014,2.691
Denmark,Female,Under 15 (Children),Children,2014,7.147
Denmark,Male,Under 15 (Children),Children,2014,6.736
Djibouti,Female,Under 15 (Children),Children,2014,36.384
Djibouti,Male,Under 15 (Children),Children,2014,22.374
Dominican Republic,Female,Under 15 (Children),Children,2014,9.766
Dominican Republic,Male,Under 15 (Children),Children,2014,4.868
Ecuador,Female,Under 15 (Children),Children,2014,4.141
Ecuador,Male,Under 15 (Children),Children,2014,3.068
"Egypt, Arab Rep.",Female,Under 15 (Children),Children,2014,23.935
"Egypt, Arab Rep.",Male,Under 15 (Children),Children,2014,9.704
El Salvador,Female,Under 15 (Children),Children,2014,3.132
El Salvador,Male,Under 15 (Children),Children,2014,4.877
Equatorial Guinea,Female,Under 15 (Children),Children,2014,9.226
Equatorial Guinea,Male,Under 15 (Children),Children,2014,7.224
Estonia,Female,Under 15 (Children),Children,2014,6.808
Estonia,Male,Under 15 (Children),Children,2014,7.857
Eswatini,Female,Under 15 (Children),Children,2014,25.827
Eswatini,Male,Under 15 (Children),Children,2014,21.96
Ethiopia,Female,Under 15 (Children),Children,2014,3.093
Ethiopia,Male,Under 15 (Children),Children,2014,1.713
Fiji,Female,Under 15 (Children),Children,2014,5.129
Fiji,Male,Under 15 (Children),Children,2014,3.897
Finland,Female,Under 15 (Children),Children,2014,7.946
Finland,Male,Under 15 (Children),Children,2014,9.325
France,Female,Under 15 (Children),Children,2014,10.006
France,Male,Under 15 (Children),Children,2014,10.515
French Polynesia,Female,Under 15 (Children),Children,2014,12.76
French Polynesia,Male,Under 15 (Children),Children,2014,10.965
Gabon,Female,Under 15 (Children),Children,2014,28.103
Gabon,Male,Under 15 (Children),Children,2014,14.186
"Gambia, The",Female,Under 15 (Children),Children,2014,9.867
"Gambia, The",Male,Under 15 (Children),Children,2014,6.859
Georgia,Female,Under 15 (Children),Children,2014,14.48
Georgia,Male,Under 15 (Children),Children,2014,19.93
Germany,Female,Under 15 (Children),Children,2014,4.631
Germany,Male,Under 15 (Children),Children,2014,5.281
Ghana,Female,Under 15 (Children),Children,2014,4.396
Ghana,Male,Under 15 (Children),Children,2014,4.378
Greece,Female,Under 15 (Children),Children,2014,30.523
Greece,Male,Under 15 (Children),Children,2014,23.74
Guam,Female,Under 15 (Children),Children,2014,7.195
Guam,Male,Under 15 (Children),Children,2014,7.927
Guatemala,Female,Under 15 (Children),Children,2014,3.395
Guatemala,Male,Under 15 (Children),Children,2014,2.377
Guinea,Female,Under 15 (Children),Children,2014,4.87
Guinea,Male,Under 15 (Children),Children,2014,5.458
Guinea-Bissau,Female,Under 15 (Children),Children,2014,2.848
Guinea-Bissau,Male,Under 15 (Children),Children,2014,3.807
Guyana,Female,Under 15 (Children),Children,2014,15.483
Guyana,Male,Under 15 (Children),Children,2014,11.319
Haiti,Female,Under 15 (Children),Children,2014,16.765
Haiti,Male,Under 15 (Children),Children,2014,11.114
Honduras,Female,Under 15 (Children),Children,2014,9.419
Honduras,Male,Under 15 (Children),Children,2014,5.784
"Hong Kong SAR, China",Female,Under 15 (Children),Children,2014,3.011
"Hong Kong SAR, China",Male,Under 15 (Children),Children,2014,3.571
Hungary,Female,Under 15 (Children),Children,2014,7.915
Hungary,Male,Under 15 (Children),Children,2014,7.575
Iceland,Female,Under 15 (Children),Children,2014,4.789
Iceland,Male,Under 15 (Children),Children,2014,4.999
India,Female,Under 15 (Children),Children,2014,8.106
India,Male,Under 15 (Children),Children,2014,7.933
Indonesia,Female,Under 15 (Children),Children,2014,3.882
Indonesia,Male,Under 15 (Children),Children,2014,4.153
"Iran, Islamic Rep.",Female,Under 15 (Children),Children,2014,19.858
"Iran, Islamic Rep.",Male,Under 15 (Children),Children,2014,8.954
Iraq,Female,Under 15 (Children),Children,2014,21.813
Iraq,Male,Under 15 (Children),Children,2014,8.399
Ireland,Female,Under 15 (Children),Children,2014,10.881
Ireland,Male,Under 15 (Children),Children,2014,12.672
Israel,Female,Under 15 (Children),Children,2014,5.806
Israel,Male,Under 15 (Children),Children,2014,5.776
Italy,Female,Under 15 (Children),Children,2014,13.794
Italy,Male,Under 15 (Children),Children,2014,11.855
Jamaica,Female,Under 15 (Children),Children,2014,11.657
Jamaica,Male,Under 15 (Children),Children,2014,6.984
Japan,Female,Under 15 (Children),Children,2014,3.372
Japan,Male,Under 15 (Children),Children,2014,3.753
Jordan,Female,Under 15 (Children),Children,2014,20.886
Jordan,Male,Under 15 (Children),Children,2014,10.191
Kazakhstan,Female,Under 15 (Children),Children,2014,5.67
Kazakhstan,Male,Under 15 (Children),Children,2014,4.456
Kenya,Female,Under 15 (Children),Children,2014,2.967
Kenya,Male,Under 15 (Children),Children,2014,2.606
"Korea, Rep.",Female,Under 15 (Children),Children,2014,2.957
"Korea, Rep.",Male,Under 15 (Children),Children,2014,3.167
Kuwait,Female,Under 15 (Children),Children,2014,5.861
Kuwait,Male,Under 15 (Children),Children,2014,1.746
Kyrgyz Republic,Female,Under 15 (Children),Children,2014,3.438
Kyrgyz Republic,Male,Under 15 (Children),Children,2014,3.111
Lao PDR,Female,Under 15 (Children),Children,2014,1.809
Lao PDR,Male,Under 15 (Children),Children,2014,2.398
Latvia,Female,Under 15 (Children),Children,2014,9.839
Latvia,Male,Under 15 (Children),Children,2014,11.849
Lebanon,Female,Under 15 (Children),Children,2014,12.311
Lebanon,Male,Under 15 (Children),Children,2014,7.375
Lesotho,Female,Under 15 (Children),Children,2014,18.101
Lesotho,Male,Under 15 (Children),Children,2014,14.272
Liberia,Female,Under 15 (Children),Children,2014,1.789
Liberia,Male,Under 15 (Children),Children,2014,2.345
Libya,Female,Under 15 (Children),Children,2014,25.356
Libya,Male,Under 15 (Children),Children,2014,16.131
Lithuania,Female,Under 15 (Children),Children,2014,9.216
Lithuania,Male,Under 15 (Children),Children,2014,12.175
Luxembourg,Female,Under 15 (Children),Children,2014,5.767
Luxembourg,Male,Under 15 (Children),Children,2014,5.917
"Macao SAR, China",Female,Under 15 (Children),Children,2014,1.395
"Macao SAR, China",Male,Under 15 (Children),Children,2014,1.937
Madagascar,Female,Under 15 (Children),Children,2014,1.409
Madagascar,Male,Under 15 (Children),Children,2014,1.369
Malawi,Female,Under 15 (Children),Children,2014,5.85
Malawi,Male,Under 15 (Children),Children,2014,4.095
Malaysia,Female,Under 15 (Children),Children,2014,3.221
Malaysia,Male,Under 15 (Children),Children,2014,2.671
Maldives,Female,Under 15 (Children),Children,2014,7.716
Maldives,Male,Under 15 (Children),Children,2014,7.358
Mali,Female,Under 15 (Children),Children,2014,1.45
Mali,Male,Under 15 (Children),Children,2014,1.623
Malta,Female,Under 15 (Children),Children,2014,5.091
Malta,Male,Under 15 (Children),Children,2014,6.109
Mauritania,Female,Under 15 (Children),Children,2014,12.098
Mauritania,Male,Under 15 (Children),Children,2014,8.996
Mauritius,Female,Under 15 (Children),Children,2014,10.858
Mauritius,Male,Under 15 (Children),Children,2014,5.374
Mexico,Female,Under 15 (Children),Children,2014,4.848
Mexico,Male,Under 15 (Children),Children,2014,4.788
Moldova,Female,Under 15 (Children),Children,2014,1.099
Moldova,Male,Under 15 (Children),Children,2014,1.848
Mongolia,Female,Under 15 (Children),Children,2014,4.401
Mongolia,Male,Under 15 (Children),Children,2014,5.139
Montenegro,Female,Under 15 (Children),Children,2014,18.24
Montenegro,Male,Under 15 (Children),Children,2014,17.891
Morocco,Female,Under 15 (Children),Children,2014,10.286
Morocco,Male,Under 15 (Children),Children,2014,9.496
Mozambique,Female,Under 15 (Children),Children,2014,3.546
Mozambique,Male,Under 15 (Children),Children,2014,3.202
Myanmar,Female,Under 15 (Children),Children,2014,0.894
Myanmar,Male,Under 15 (Children),Children,2014,0.664
Namibia,Female,Under 15 (Children),Children,2014,20.381
Namibia,Male,Under 15 (Children),Children,2014,16.711
Nepal,Female,Under 15 (Children),Children,2014,12.131
Nepal,Male,Under 15 (Children),Children,2014,9.881
Netherlands,Female,Under 15 (Children),Children,2014,7.749
Netherlands,Male,Under 15 (Children),Children,2014,7.139
New Caledonia,Female,Under 15 (Children),Children,2014,15.595
New Caledonia,Male,Under 15 (Children),Children,2014,13.735
New Zealand,Female,Under 15 (Children),Children,2014,6.126
New Zealand,Male,Under 15 (Children),Children,2014,4.797
Nicaragua,Female,Under 15 (Children),Children,2014,5.622
Nicaragua,Male,Under 15 (Children),Children,2014,3.848
Niger,Female,Under 15 (Children),Children,2014,0.423
Niger,Male,Under 15 (Children),Children,2014,0.59
Nigeria,Female,Under 15 (Children),Children,2014,3.548
Nigeria,Male,Under 15 (Children),Children,2014,4.163
North Macedonia,Female,Under 15 (Children),Children,2014,29.128
North Macedonia,Male,Under 15 (Children),Children,2014,27.888
Norway,Female,Under 15 (Children),Children,2014,3.233
Norway,Male,Under 15 (Children),Children,2014,3.702
West Bank and Gaza,Female,Under 15 (Children),Children,2014,26.084
West Bank and Gaza,Male,Under 15 (Children),Children,2014,19.144
Oman,Female,Under 15 (Children),Children,2014,11.874
Oman,Male,Under 15 (Children),Children,2014,2.138
Pakistan,Female,Under 15 (Children),Children,2014,2.018
Pakistan,Male,Under 15 (Children),Children,2014,1.777
Panama,Female,Under 15 (Children),Children,2014,5.649
Panama,Male,Under 15 (Children),Children,2014,3.636
Papua New Guinea,Female,Under 15 (Children),Children,2014,1.409
Papua New Guinea,Male,Under 15 (Children),Children,2014,3.617
Paraguay,Female,Under 15 (Children),Children,2014,6.803
Paraguay,Male,Under 15 (Children),Children,2014,3.844
Peru,Female,Under 15 (Children),Children,2014,3.405
Peru,Male,Under 15 (Children),Children,2014,3.045
Philippines,Female,Under 15 (Children),Children,2014,3.721
Philippines,Male,Under 15 (Children),Children,2014,3.521
Poland,Female,Under 15 (Children),Children,2014,9.589
Poland,Male,Under 15 (Children),Children,2014,8.499
Portugal,Female,Under 15 (Children),Children,2014,14.332
Portugal,Male,Under 15 (Children),Children,2014,13.492
Puerto Rico,Female,Under 15 (Children),Children,2014,11.33
Puerto Rico,Male,Under 15 (Children),Children,2014,15.8
Qatar,Female,Under 15 (Children),Children,2014,1.03
Qatar,Male,Under 15 (Children),Children,2014,0.07
Romania,Female,Under 15 (Children),Children,2014,6.092
Romania,Male,Under 15 (Children),Children,2014,7.353
Russian Federation,Female,Under 15 (Children),Children,2014,4.82
Russian Federation,Male,Under 15 (Children),Children,2014,5.48
Rwanda,Female,Under 15 (Children),Children,2014,12.637
Rwanda,Male,Under 15 (Children),Children,2014,11.176
St. Lucia,Female,Under 15 (Children),Children,2014,23.389
St. Lucia,Male,Under 15 (Children),Children,2014,19.978
St. Vincent and the Grenadines,Female,Under 15 (Children),Children,2014,17.013
St. Vincent and the Grenadines,Male,Under 15 (Children),Children,2014,20.681
Samoa,Female,Under 15 (Children),Children,2014,10.271
Samoa,Male,Under 15 (Children),Children,2014,7.801
Sao Tome and Principe,Female,Under 15 (Children),Children,2014,21.228
Sao Tome and Principe,Male,Under 15 (Children),Children,2014,9.589
Saudi Arabia,Female,Under 15 (Children),Children,2014,22.409
Saudi Arabia,Male,Under 15 (Children),Children,2014,2.919
Senegal,Female,Under 15 (Children),Children,2014,8.901
Senegal,Male,Under 15 (Children),Children,2014,6.864
Serbia,Female,Under 15 (Children),Children,2014,20.356
Serbia,Male,Under 15 (Children),Children,2014,18.318
Sierra Leone,Female,Under 15 (Children),Children,2014,3.836
Sierra Leone,Male,Under 15 (Children),Children,2014,5.517
Singapore,Female,Under 15 (Children),Children,2014,4.111
Singapore,Male,Under 15 (Children),Children,2014,3.478
Slovak Republic,Female,Under 15 (Children),Children,2014,12.954
Slovak Republic,Male,Under 15 (Children),Children,2014,10.383
Slovenia,Female,Under 15 (Children),Children,2014,10.596
Slovenia,Male,Under 15 (Children),Children,2014,8.975
Solomon Islands,Female,Under 15 (Children),Children,2014,0.746
Solomon Islands,Male,Under 15 (Children),Children,2014,0.697
Somalia,Female,Under 15 (Children),Children,2014,24.531
Somalia,Male,Under 15 (Children),Children,2014,16.407
South Africa,Female,Under 15 (Children),Children,2014,24.249
South Africa,Male,Under 15 (Children),Children,2014,21.192
South Sudan,Female,Under 15 (Children),Children,2014,13.597
South Sudan,Male,Under 15 (Children),Children,2014,11.505
Spain,Female,Under 15 (Children),Children,2014,25.428
Spain,Male,Under 15 (Children),Children,2014,23.598
Sri Lanka,Female,Under 15 (Children),Children,2014,6.302
Sri Lanka,Male,Under 15 (Children),Children,2014,3.07
Sudan,Female,Under 15 (Children),Children,2014,30.664
Sudan,Male,Under 15 (Children),Children,2014,12.351
Suriname,Female,Under 15 (Children),Children,2014,12.008
Suriname,Male,Under 15 (Children),Children,2014,3.579
Sweden,Female,Under 15 (Children),Children,2014,7.687
Sweden,Male,Under 15 (Children),Children,2014,8.187
Switzerland,Female,Under 15 (Children),Children,2014,4.991
Switzerland,Male,Under 15 (Children),Children,2014,4.691
Syrian Arab Republic,Female,Under 15 (Children),Children,2014,26.867
Syrian Arab Republic,Male,Under 15 (Children),Children,2014,12.091
Tajikistan,Female,Under 15 (Children),Children,2014,6.831
Tajikistan,Male,Under 15 (Children),Children,2014,9.025
Tanzania,Female,Under 15 (Children),Children,2014,2.687
Tanzania,Male,Under 15 (Children),Children,2014,1.568
Thailand,Female,Under 15 (Children),Children,2014,0.564
Thailand,Male,Under 15 (Children),Children,2014,0.594
Timor-Leste,Female,Under 15 (Children),Children,2014,5.535
Timor-Leste,Male,Under 15 (Children),Children,2014,3.148
Togo,Female,Under 15 (Children),Children,2014,1.662
Togo,Male,Under 15 (Children),Children,2014,2.567
Tonga,Female,Under 15 (Children),Children,2014,2.708
Tonga,Male,Under 15 (Children),Children,2014,1.397
Trinidad and Tobago,Female,Under 15 (Children),Children,2014,2.931
Trinidad and Tobago,Male,Under 15 (Children),Children,2014,2.143
Tunisia,Female,Under 15 (Children),Children,2014,21.516
Tunisia,Male,Under 15 (Children),Children,2014,11.457
Turkmenistan,Female,Under 15 (Children),Children,2014,2.472
Turkmenistan,Male,Under 15 (Children),Children,2014,5.697
Turkiye,Female,Under 15 (Children),Children,2014,11.844
Turkiye,Male,Under 15 (Children),Children,2014,9.04
Uganda,Female,Under 15 (Children),Children,2014,2.991
Uganda,Male,Under 15 (Children),Children,2014,1.897
Ukraine,Female,Under 15 (Children),Children,2014,7.568
Ukraine,Male,Under 15 (Children),Children,2014,10.92
United Arab Emirates,Female,Under 15 (Children),Children,2014,4.851
United Arab Emirates,Male,Under 15 (Children),Children,2014,1.433
United Kingdom,Female,Under 15 (Children),Children,2014,5.821
United Kingdom,Male,Under 15 (Children),Children,2014,6.362
United States,Female,Under 15 (Children),Children,2014,6.062
United States,Male,Under 15 (Children),Children,2014,6.262
Virgin Islands (U.S.),Female,Under 15 (Children),Children,2014,13.628
Virgin Islands (U.S.),Male,Under 15 (Children),Children,2014,11.335
Uruguay,Female,Under 15 (Children),Children,2014,8.343
Uruguay,Male,Under 15 (Children),Children,2014,5.062
Uzbekistan,Female,Under 15 (Children),Children,2014,4.875
Uzbekistan,Male,Under 15 (Children),Children,2014,5.213
Vanuatu,Female,Under 15 (Children),Children,2014,6.172
Vanuatu,Male,Under 15 (Children),Children,2014,4.316
"Venezuela, RB",Female,Under 15 (Children),Children,2014,7.552
"Venezuela, RB",Male,Under 15 (Children),Children,2014,6.299
Viet Nam,Female,Under 15 (Children),Children,2014,1.111
Viet Nam,Male,Under 15 (Children),Children,2014,1.401
"Yemen, Rep.",Female,Under 15 (Children),Children,2014,26.146
"Yemen, Rep.",Male,Under 15 (Children),Children,2014,12.348
Zambia,Female,Under 15 (Children),Children,2014,8.323
Zambia,Male,Under 15 (Children),Children,2014,7.984
Zimbabwe,Female,Under 15 (Children),Children,2014,5.174
Zimbabwe,Male,Under 15 (Children),Children,2014,4.355
Afghanistan,Female,Under 15 (Children),Children,2015,11.552
Afghanistan,Male,Under 15 (Children),Children,2015,8.355
Albania,Female,Under 15 (Children),Children,2015,17.115
Albania,Male,Under 15 (Children),Children,2015,17.245
Algeria,Female,Under 15 (Children),Children,2015,16.605
Algeria,Male,Under 15 (Children),Children,2015,9.941
Angola,Female,Under 15 (Children),Children,2015,17.486
Angola,Male,Under 15 (Children),Children,2015,15.416
Argentina,Female,Under 15 (Children),Children,2015,8.709
Argentina,Male,Under 15 (Children),Children,2015,6.8
Armenia,Female,Under 15 (Children),Children,2015,11.039
Armenia,Male,Under 15 (Children),Children,2015,13.612
Australia,Female,Under 15 (Children),Children,2015,6.076
Australia,Male,Under 15 (Children),Children,2015,6.046
Austria,Female,Under 15 (Children),Children,2015,5.371
Austria,Male,Under 15 (Children),Children,2015,6.181
Azerbaijan,Female,Under 15 (Children),Children,2015,5.846
Azerbaijan,Male,Under 15 (Children),Children,2015,4.073
"Bahamas, The",Female,Under 15 (Children),Children,2015,13.005
"Bahamas, The",Male,Under 15 (Children),Children,2015,11.09
Bahrain,Female,Under 15 (Children),Children,2015,3.78
Bahrain,Male,Under 15 (Children),Children,2015,0.447
Bangladesh,Female,Under 15 (Children),Children,2015,7.363
Bangladesh,Male,Under 15 (Children),Children,2015,3.125
Barbados,Female,Under 15 (Children),Children,2015,8.974
Barbados,Male,Under 15 (Children),Children,2015,10.635
Belarus,Female,Under 15 (Children),Children,2015,4.261
Belarus,Male,Under 15 (Children),Children,2015,7.504
Belgium,Female,Under 15 (Children),Children,2015,7.769
Belgium,Male,Under 15 (Children),Children,2015,9.089
