country_name,sex,age_group,age_categories,year,unemployment_rate
Afghanistan,Female,15-24 (Youth),Youth,2014,13.34
Afghanistan,Female,25+ (Adults),Adults,2014,8.576
Afghanistan,Female,Under 15 (Children),Children,2014,10.306
Afghanistan,Male,15-24 (Youth),Youth,2014,9.206
Afghanistan,Male,25+ (Adults),Adults,2014,6.463
Afghanistan,Male,Under 15 (Children),Children,2014,7.34
Albania,Female,15-24 (Youth),Youth,2014,32.59
Albania,Female,25+ (Adults),Adults,2014,13.6
Albania,Female,Under 15 (Children),Children,2014,15.476
Albania,Male,15-24 (Youth),Youth,2014,43.556
Albania,Male,25+ (Adults),Adults,2014,16.316
Albania,Male,Under 15 (Children),Children,2014,19.853
Algeria,Female,15-24 (Youth),Youth,2014,39.169
Algeria,Female,25+ (Adults),Adults,2014,11.913
Algeria,Female,Under 15 (Children),Children,2014,15.687
Algeria,Male,15-24 (Youth),Youth,2014,22.742
Algeria,Male,25+ (Adults),Adults,2014,6.491
Algeria,Male,Under 15 (Children),Children,2014,9.021
Angola,Female,15-24 (Youth),Youth,2014,35.356
Angola,Female,25+ (Adults),Adults,2014,11.437
Angola,Female,Under 15 (Children),Children,2014,17.59
Angola,Male,15-24 (Youth),Youth,2014,35.298
Angola,Male,25+ (Adults),Adults,2014,8.104
Angola,Male,Under 15 (Children),Children,2014,15.053
Argentina,Female,15-24 (Youth),Youth,2014,22.255
Argentina,Female,25+ (Adults),Adults,2014,6.238
Argentina,Female,Under 15 (Children),Children,2014,8.393
Argentina,Male,15-24 (Youth),Youth,2014,17.149
Argentina,Male,25+ (Adults),Adults,2014,4.671
Argentina,Male,Under 15 (Children),Children,2014,6.495
Armenia,Female,15-24 (Youth),Youth,2014,21.837
Armenia,Female,25+ (Adults),Adults,2014,9.206
Armenia,Female,Under 15 (Children),Children,2014,10.873
Armenia,Male,15-24 (Youth),Youth,2014,19.81
Armenia,Male,25+ (Adults),Adults,2014,11.94
Armenia,Male,Under 15 (Children),Children,2014,13.13
Australia,Female,15-24 (Youth),Youth,2014,12.453
Australia,Female,25+ (Adults),Adults,2014,4.801
Australia,Female,Under 15 (Children),Children,2014,6.172
Australia,Male,15-24 (Youth),Youth,2014,14.114
Australia,Male,25+ (Adults),Adults,2014,4.448
Australia,Male,Under 15 (Children),Children,2014,6.002
Austria,Female,15-24 (Youth),Youth,2014,10.079
Austria,Female,25+ (Adults),Adults,2014,4.718
Austria,Female,Under 15 (Children),Children,2014,5.427
Austria,Male,15-24 (Youth),Youth,2014,10.907
Austria,Male,25+ (Adults),Adults,2014,5.147
Austria,Male,Under 15 (Children),Children,2014,5.887
Azerbaijan,Female,15-24 (Youth),Youth,2014,15.562
Azerbaijan,Female,25+ (Adults),Adults,2014,4.44
Azerbaijan,Female,Under 15 (Children),Children,2014,5.817
Azerbaijan,Male,15-24 (Youth),Youth,2014,11.216
Azerbaijan,Male,25+ (Adults),Adults,2014,2.872
Azerbaijan,Male,Under 15 (Children),Children,2014,4.004
"Bahamas, The",Female,15-24 (Youth),Youth,2014,33.868
"Bahamas, The",Female,25+ (Adults),Adults,2014,11.521
"Bahamas, The",Female,Under 15 (Children),Children,2014,14.642
"Bahamas, The",Male,15-24 (Youth),Youth,2014,26.025
"Bahamas, The",Male,25+ (Adults),Adults,2014,10.061
"Bahamas, The",Male,Under 15 (Children),Children,2014,13.037
Bahrain,Female,15-24 (Youth),Youth,2014,12.57
Bahrain,Female,25+ (Adults),Adults,2014,2.407
Bahrain,Female,Under 15 (Children),Children,2014,3.745
Bahrain,Male,15-24 (Youth),Youth,2014,2.643
Bahrain,Male,25+ (Adults),Adults,2014,0.205
Bahrain,Male,Under 15 (Children),Children,2014,0.438
Bangladesh,Female,15-24 (Youth),Youth,2014,11.802
Bangladesh,Female,25+ (Adults),Adults,2014,6.35
Bangladesh,Female,Under 15 (Children),Children,2014,7.441
Bangladesh,Male,15-24 (Youth),Youth,2014,9.67
Bangladesh,Male,25+ (Adults),Adults,2014,1.515
Bangladesh,Male,Under 15 (Children),Children,2014,3.16
Barbados,Female,15-24 (Youth),Youth,2014,37.176
Barbados,Female,25+ (Adults),Adults,2014,9.347
Barbados,Female,Under 15 (Children),Children,2014,12.65
Barbados,Male,15-24 (Youth),Youth,2014,28.574
Barbados,Male,25+ (Adults),Adults,2014,9.329
